OTU_ID	inoculum1.control.before	inoculum1.control.after	inoculum1.treatment.before	inoculum1.treatment.after	inoculum2.control.before	inoculum2.control.after	inoculum2.treatment.before	inoculum2.treatment.after
otu1	0	0	0	2	8548	28281	6574	11627
otu2	14	6	0	237	0	0	1	0
otu3	40	27	6	1656	138	1297	286	1180
otu4	17	0	0	3190	1	6	0	1
otu5	1	0	0	0	210	62924	330	585
otu6	2307	209	281	131	1	1	1	1
otu7	14	7	1	609	0	448	2	65
otu8	13	0	0	7	0	0	0	1
otu9	53	56	31	52	18	6	31	18
otu10	1223	506	99	1725	1	0	1	1
otu11	92	24	12	29	257	33	160	39
otu12	0	0	1	0	546	636	2415	4338
otu13	6	11	1	48	1	0	0	0
otu14	46	20	10	823	43	1305	162	5050
otu15	106	20	17	33	94	104	344	210
otu16	322	430	665	284	184	178	692	392
otu17	1	0	1	13	42	1388	227	760
otu18	2	0	2	3	0	1023	36	75
otu19	2	0	0	5	0	1	0	0
otu20	100	14	11	13233	1	0	0	0
otu21	3	1	0	84	0	0	0	0
otu22	122	11	7	59	171	312	482	388
otu23	0	0	0	0	81	2625	161	6090
otu24	535	146	31	799	0	0	0	0
otu25	14	1	1	6	33	72	399	178
otu26	13	0	0	13	54	1993	216	219
otu27	23	9	4	7	0	1	0	0
otu28	0	0	2	0	263	265	646	626
otu29	287	191	26	1691	0	0	0	0
otu30	96	67	12	452	0	1	0	1
otu31	0	0	0	0	109	73	477	337
otu32	5	1	0	3	0	0	0	0
otu33	6	1	0	8	0	0	0	0
otu34	993	265	59	1002	0	1	1	0
otu35	255	30	11	185	0	0	0	0
otu36	0	1	2	121	0	0	0	0
otu37	38	6	3	18	45	103	227	264
otu38	0	0	0	2	0	68	355	152
otu39	116	144	267	76	57	68	204	160
otu40	9	1	1	26	0	0	0	0
otu41	0	0	0	0	113	561	512	1221
otu42	0	0	0	0	73	41	362	228
otu43	16	0	4	7	50	8	103	15
otu44	0	0	0	0	71	430	248	1245
otu45	25	28	1	949	0	0	0	0
otu46	0	1	0	0	6	44	10	347
otu47	0	0	0	0	0	8	0	12
otu48	1	0	0	2	0	0	0	0
otu49	29	1	1	14	64	91	163	175
otu50	3	0	0	5	32	583	140	601
otu51	0	0	0	0	65	1689	142	532
otu52	21	2	0	11	60	74	134	131
otu53	20	5	4	10	17	2	41	15
otu54	139	6	7	501	0	0	0	0
otu55	53	38	3	99	0	0	0	0
otu56	19	1	2	10	44	61	111	93
otu57	1	1	0	8	0	1	0	1
otu58	0	0	0	5	1	14	0	17
otu59	136	19	9	73	0	0	0	0
otu60	0	0	0	0	89	25	164	80
otu61	0	0	0	0	41	45	233	166
otu62	0	0	0	0	62	36	93	98
otu63	0	0	0	0	29	11	151	95
otu64	200	28	9	221	0	0	0	0
otu65	0	0	0	0	40	17	82	52
otu66	0	0	0	0	0	1	2	12
otu67	25	3	5	10	0	0	0	0
otu68	0	0	0	0	90	32	115	54
otu69	0	0	0	0	39	14	93	26
otu70	0	0	0	3	7	1556	4	109
otu71	0	0	1	0	32	32	87	52
otu72	6	1	3	4	0	0	6	5
otu73	1	0	0	8	13	109	44	588
otu74	42	7	1	88	0	0	0	0
otu75	0	0	0	0	119	38	131	66
otu76	0	0	2	0	15	7	63	35
otu77	13	5	2	129	0	44	3	25
otu78	0	0	0	0	66	28	108	65
otu79	10	14	0	74	0	0	0	1
otu80	3	0	2	0	11	0	29	7
otu81	0	0	0	0	35	16	67	38
otu82	0	0	0	0	25	12	63	23
otu83	0	0	0	1	1	23	6	17
otu84	0	0	0	0	5	26	33	274
otu85	0	0	0	0	7	12	29	16
otu86	0	0	0	0	97	25	79	47
otu87	0	0	0	0	14	307	57	513
otu88	0	0	0	0	39	16	133	83
otu89	5	2	1	1	10	17	39	45
otu90	0	0	0	1	1	845	27	28
otu91	168	9	10	17	0	0	0	0
otu92	0	0	0	0	175	18	111	38
otu93	0	0	0	0	23	13	60	29
otu94	9	2	0	6	15	18	45	34
otu95	33	4	1	583	0	0	0	0
otu96	0	0	0	0	40	15	40	31
otu97	39	54	22	74	14	3	20	2
otu98	2	0	0	0	10	4	30	16
otu99	0	0	0	0	17	185	36	81
otu100	17	4	2	15	0	0	0	0
otu101	0	0	0	0	48	5	59	43
otu102	0	0	0	0	17	147	82	116
otu103	0	0	0	0	0	201	1	12
otu104	0	0	0	0	8	134	46	202
otu105	29	2	0	21	0	0	0	0
otu106	0	0	0	0	41	11	35	21
otu107	12	2	2	3	4	1	4	4
otu108	0	0	0	0	1	652	2	1
otu109	0	0	0	0	31	11	22	22
otu110	28	3	3	11	0	0	0	0
otu111	0	0	0	0	1	645	0	0
otu112	0	0	0	0	36	10	30	20
otu113	0	0	0	0	13	18	14	107
otu114	2	0	0	1	0	0	0	0
otu115	15	1	0	7	1	0	0	0
otu116	0	0	0	0	12	3	26	12
otu117	0	0	0	0	14	11	19	26
otu118	4	1	0	4	0	0	0	0
otu119	0	0	0	0	28	21	57	47
otu120	1	0	0	4	0	0	0	0
otu121	1	1	0	1	0	0	0	2
otu122	4	0	0	2	6	17	19	19
otu123	1	1	0	0	0	0	0	0
otu124	0	0	1	0	2	2	16	7
otu125	0	0	0	0	19	3	25	8
otu126	39	1	2	43	0	0	0	0
otu127	9	1	0	80	0	0	0	0
otu128	1	0	0	0	3	2	20	14
otu129	0	0	0	0	39	7	39	22
otu130	0	0	0	0	0	5	0	1
otu131	0	0	0	0	4	2	15	10
otu132	1	1	0	0	9	12	16	12
otu133	8	10	1	7	1	0	0	0
otu134	0	0	0	0	29	3	32	25
otu135	0	0	0	0	3	3	27	12
otu136	2	0	0	103	0	0	0	0
otu137	0	0	0	0	28	8	8	12
otu138	4	1	0	0	0	0	0	0
otu139	0	0	0	0	93	8	62	22
otu140	0	0	0	0	8	9	35	10
otu141	0	0	0	0	16	4	31	11
otu142	38	1	0	67	0	0	0	0
otu143	0	0	0	0	16	35	48	57
otu144	4	0	1	1	1	6	16	7
otu145	10	5	0	69	0	0	0	0
otu146	1	0	1	18	0	0	0	2
otu147	0	0	0	0	9	13	39	32
otu148	0	0	0	0	4	5	31	17
otu149	2	0	0	0	7	11	26	9
otu150	25	1	1	92	0	0	0	0
otu151	0	0	0	0	19	8	31	26
otu152	0	1	0	23	0	10	0	12
otu153	1	1	0	1	0	0	0	0
otu154	33	6	1	45	0	0	0	0
